id,県,カテゴリ,施設名,所在地,屋内・屋外,雨天対応,料金タイプ,大人料金目安,子供料金目安,おすすめポイント詳細,対象年齢,URL/参考,lat,lng,image,image_credit,tags,signature_experiences,unique_selling_point,experience_tags,summer_water_play
941,静岡県,屋内遊び場,KADODE OOIGAWA キッズパークちゃめっけ,島田市竹下62 KADODE OOIGAWA内,屋内,◎,有料,200円,500円,お茶と農業がテーマの体験型フードパーク内のキッズパーク。ダイナミックな大型遊具・ツリーハウス・食育を体感できる遊具がそろう。雨天でも完全屋内で安心。,0歳～小学生,https://kadode-ooigawa.jp/chamekke/,,,,,"雨の日OK,完全屋内","ダイナミックな大型遊具,ツリーハウス,食育体験",お茶の里にある食育型キッズパーク,"動く,見る",×
942,静岡県,屋内遊び場,屋内遊び場 mirocco(みろっこ),掛川市満水1652 22世紀の丘公園内,屋内,◎,有料,大人500円,小学生800円,2025年7月オープンの新感覚屋内遊び場。子どもの「やってみたい」を育む多彩なアクティビティで雨の日も猛暑の日も快適。,0歳～小学生,https://mirocco.jp/,,,,,"雨の日OK,完全屋内","多彩な屋内アクティビティ,新感覚遊び",2025年新規オープンの屋内遊び場,"動く",×
943,静岡県,屋内遊び場,Kids BANeT(キッズバネット) MARK IS 静岡店,静岡市葵区柚木1026 MARK IS 静岡 3F,屋内,◎,有料,500円,1500円,ボールプール・大型遊具・トランポリン・700面以上のガチャガチャまで揃う12歳以下対象の本格屋内遊び場。買い物ついでに親子で1日遊べる。,0歳～小学生,https://www.mec-markis.jp/shizuoka/search/detail.php?shop_id=10168,,,,,"雨の日OK,完全屋内","大型遊具,ボールプール,トランポリン,ガチャ700種",MARK IS 静岡内の本格室内遊び場,"動く,見る",×
944,静岡県,体験,静岡市こどもクリエイティブタウン ま・あ・る,静岡市清水区辻1-2-1 えじりあ3・4階,屋内,◎,無料,無料,無料,仕事体験・ものづくり・こどもバザールなど未就学児～高校生まで楽しめる創造体験施設。自主性と創造性を育む。,3歳～高校生,https://maaru-ct.jp/,,,,,"雨の日OK,完全屋内,無料","仕事体験,ものづくり,こどもバザール",自主性を育む創造体験タウン,"作る,動く",×
945,静岡県,科学館,富士川楽座(道の駅),富士市岩淵1488-1,屋内,◎,有料,プラネタリウム700円,プラネタリウム400円,直径14mドームのプラネタリウム「わいわい劇場」、科学体験館「どんぶら」、観覧車もある複合道の駅。富士山ビューも美しい。,0歳～小学生,https://www.fujikawarakuza.co.jp/,,,,,"雨の日OK,完全屋内","プラネタリウム,科学体験,観覧車",富士山ビュー道の駅+プラネタリウム,"見る,動く",×
946,長野県,温泉プール,ラーラ松本,松本市島内7412,屋内,◎,有料,大人630円,子供300円,迫力満点のスライダーから幼児用プールまで多彩な温水プール。年中遊べる屋内施設で定期的にイベントも開催。,0歳～小学生,https://www.r-matsumoto.jp/,,,,,"雨の日OK,完全屋内","スライダー,幼児プール,流れるプール",松本の年中遊べる温水プール,"動く",◎
947,栃木県,体験,宝石探しトレジャーストーンパーク,那須郡那須町高久丙123,屋内,◎,有料,無料,1100円,北関東最大級の宝石探しテーマパーク。水晶・アメジスト・メノウなどパワーストーンが制限時間内取り放題。屋根付きで雨天もOK。,3歳～小学生,http://www.treasurestonepark.com/,,,,,"雨の日OK","宝石探し,パワーストーン取り放題",北関東最大級の宝石探し体験,"動く,作る",×
948,栃木県,遊園地・テーマパーク,とちのきファミリーランド,宇都宮市西川田4-1-1,屋外,△,有料,入園無料,アトラクション別途,栃木県総合運動公園内の遊園地。0歳から利用できる乗り物やジェットコースター・スカイシップなど人気アトラクションが充実。,0歳～小学生,https://www.park-tochigi.com/tochinoki/,,,,,"無料","ジェットコースター,0歳から乗れる遊具,スカイシップ",入園無料の県営遊園地,"動く,見る",×
949,埼玉県,遊園地・テーマパーク,緑の中のファミリーランド むさしの村,加須市,屋外,△,有料,大人1500円,小学生1000円,加須市にある自然豊かな遊園地。アトラクション・ふれあい牧場・季節のイベントが充実したファミリー向けテーマパーク。,0歳～小学生,https://www.musashinomura.co.jp/,,,,,"","アトラクション,ふれあい牧場,季節イベント",自然豊かな県内最大級遊園地,"動く,見る",×
950,埼玉県,体験,埼玉おもちゃ美術館,吉川市美南3-25-1 イオンタウン吉川美南内,屋内,◎,有料,大人1000円,小中学生700円,2025年9月オープン。木のおもちゃを五感で遊べる体験型おもちゃ美術館。0歳から大人まで楽しめる木育の世界。,0歳～大人,https://museum.socialimpact.ed.jp/,,,,,"雨の日OK,完全屋内,0-3歳OK","木のおもちゃ,木育,体験型",2025年新オープンの木育体験美術館,"作る,見る",×
951,埼玉県,屋内遊び場,BOAT KIDS PARK モーヴィ戸田,戸田市戸田公園8-22,屋内,◎,無料,無料,無料,ボートレース戸田に併設のボーネルンドプロデュースの屋内遊び場。アクティブゾーン・乳幼児ゾーンなど4つのゾーンで0歳から本格的に遊べる。,0歳～小学生,https://lets-boatrace.jp/go-boatrace/mooovi/,,,,,"雨の日OK,完全屋内,無料,0-3歳OK","ボーネルンド遊具,アクティブゾーン,乳幼児ゾーン",ボーネルンド監修の無料屋内遊び場,"動く",×
952,埼玉県,屋内遊び場,ファンタジーキッズリゾート 北上尾店,上尾市緑丘3-3-11 PAPA上尾プリンス棟2F,屋内,◎,有料,大人1100円,小人1100円,2024年11月新規オープンの国内最大級屋内遊園地。ふわふわ遊具・ARボルダリング・トランポリン・ボールプールが揃う全天候型施設。,0歳～小学生,https://fantasyresort.jp/kitaageo/,,,,,"雨の日OK,完全屋内","ふわふわ遊具,ARボルダリング,トランポリン",2024年新規オープン国内最大級,"動く",×
953,埼玉県,屋内遊び場,ASOBooN(アソブーン)in 川口ハイウェイオアシス,川口市赤山465-1 川口ハイウェイオアシス,屋内,◎,有料,大人500円,子供1500円,高速道路直結の遊び場。ボーネルンドプロデュースで木育とアクティブ遊具のバランスが絶妙。1日中遊べる。,0歳～小学生,https://www.kawaguchi-highwayoasis.com/asoboon/,,,,,"雨の日OK,完全屋内","ボーネルンド遊具,木育,アクティブ遊具",高速道路直結の本格屋内遊び場,"動く,作る",×
954,埼玉県,屋内遊び場,クレヨンしんちゃん オラの あそべるゆめぱ～く 富士見,富士見市山室1-1313 ららぽーと富士見 2F,屋内,◎,有料,大人900円,子供900円,日本初のクレヨンしんちゃんがテーマの室内型こどもの遊び場。アニメの世界観で遊べる多彩な遊具。,2歳～小学生,https://shinchan-game-cinema.jp/yumepark/,,,,,"雨の日OK,完全屋内","クレヨンしんちゃん世界観遊具,アニメ体験",日本初しんちゃんテーマ屋内遊び場,"動く,見る",×
955,埼玉県,屋内遊び場,リトルプラネット イオンモール川口,川口市安行領根岸3180 イオンモール川口 3F,屋内,◎,有料,大人1500円,子供1500円,デジタル技術と昔ながらの遊びを融合した次世代テーマパーク。砂遊び・トランポリン・プロジェクションマッピング遊具が揃う。,0歳～小学生,https://litpla.com/space/litpla_aeonmall_kawaguchi/,,,,,"雨の日OK,完全屋内","デジタル砂遊び,プロジェクション遊具",デジタル×アナログ次世代屋内テーマパーク,"動く,見る",×
956,埼玉県,温泉プール,朝霞市健康増進センター わくわくどーむ,朝霞市浜崎27,屋内,◎,有料,大人510円,子供210円,プール・温泉・ジムが揃う大型屋内施設。流れるプール・ジャグジー・幼児用すべり台で年中楽しめる。,0歳～小学生,https://asaka-wakuwakudome.com/,,,,,"雨の日OK,完全屋内","流れるプール,ジャグジー,幼児用プール",朝霞市営の温泉プール複合施設,"動く",◎
957,新潟県,屋内遊び場,プレイラボみつけ,新潟県見附市,屋内,◎,有料,大人500円,子供500円,2023年7月誕生の小学校高学年向け大型屋内施設。大型遊具・図書スペース・学習・工作スペースが充実。,0歳～小学生,https://www.city.mitsuke.niigata.jp/,,,,,"雨の日OK,完全屋内","大型遊具,図書スペース,工作スペース",高学年も満足の大型屋内施設,"動く,作る",×
958,新潟県,屋内遊び場,ザキッズ 新潟イオン白根店,新潟県新潟市南区白根,屋内,◎,有料,大人入場無料,子供980円,0歳児から遊べる全天候型室内遊び場。幼児から小学生までのびのび楽しめる人気チェーン店。,0歳～小学生,https://thekids.co.jp/shop/niigata-shirone/,,,,,"雨の日OK,完全屋内,0-3歳OK","ボールプール,大型遊具,トランポリン",新潟最大級の屋内遊園地,"動く",×
959,新潟県,屋内遊び場,ザキッズ 新潟イオン六日町店,新潟県南魚沼市六日町,屋内,◎,有料,大人入場無料,子供980円,0歳児から遊べる全天候型室内遊び場。雪国でも年中遊べるチェーン店第二号店。,0歳～小学生,https://thekids.co.jp/,,,,,"雨の日OK,完全屋内,0-3歳OK","ボールプール,大型遊具",雪国でも年中遊べる屋内パーク,"動く",×
960,新潟県,屋内遊び場,ラポルテ五泉,五泉市赤海863,屋内,◎,無料,無料,無料,五泉市交流拠点複合施設内の遊び場。木製の大型滑り台・クライミングなど木育を意識した遊具が充実。入場無料。,0歳～小学生,https://laporte-gosen.jp/,,,,,"雨の日OK,完全屋内,無料","木製大型すべり台,クライミング",入場無料の木育遊び場,"動く,作る",×
961,新潟県,屋内遊び場,Jump862,新潟県新潟市,屋内,◎,有料,大人1500円,小学生以下無料,新潟最大級の複合アミューズメント施設。トランポリン・ボルダリング・ゲームコーナーが集結。小学生以下入場時保護者見守り無料。,3歳～大人,https://jump862.com/,,,,,"雨の日OK,完全屋内","トランポリン,ボルダリング,複合アミューズメント",新潟最大級アミューズメント,"動く",×
962,新潟県,屋内遊び場,十日町市児童センター めごらんど,十日町市,屋内,◎,無料,無料,無料,十日町市の大型児童センター。赤ちゃんから高校生まで楽しめる広場が複数あり、世代を超えて遊べる。,0歳～高校生,https://www.city.tokamachi.lg.jp/iju/kosodate_kyoiku/4023.html,,,,,"雨の日OK,完全屋内,無料,0-3歳OK","複数の遊び広場,世代対応",入場無料の大型児童センター,"動く,作る",×
963,新潟県,屋内遊び場,わくわくヒルズ阿賀野,新潟県阿賀野市,屋内,◎,有料,大人500円,子供500円,全天候型の屋内プレイスペース。ボールプール・大型滑り台・クライミング・エア遊具が揃う多彩なアクティビティ。,0歳～小学生,https://www.city.agano.niigata.jp/,,,,,"雨の日OK,完全屋内,0-3歳OK","ボールプール,エア遊具,クライミング",阿賀野市の全天候型屋内パーク,"動く",×
964,千葉県,屋内遊び場,リトルプラネット KITE MITE MATSUDO,松戸市松戸1307-1 キテミテマツド,屋内,◎,有料,大人1500円,子供1500円,日本最大級規模の会員制室内遊び場。0～12歳対象。デジタル技術を駆使した次世代型遊具が満載。,0歳～小学生,https://litpla.com/,,,,,"雨の日OK,完全屋内","デジタル遊具,会員制プレミアム",日本最大級の会員制屋内パーク,"動く,見る",×
965,千葉県,屋内遊び場,クロスポ 千葉浜野店,千葉市中央区浜野町,屋内,◎,有料,大人2000円,子供2000円,クライミング・トランポリン・釣り堀・トリックアートなど多彩な遊びが揃う複合屋内施設。,3歳～大人,https://crosspo.com/,,,,,"雨の日OK,完全屋内","クライミング,トランポリン,釣り堀,トリックアート",多彩な遊びが集まる複合屋内施設,"動く,見る",×
966,千葉県,屋内遊び場,ピュアハートキッズランド 市川コルトンプラザ,市川市鬼高1-1-1 ニッケコルトンプラザ,屋内,◎,有料,大人600円,子供600円,コルトンプラザ内の本格屋内遊び場。大型ボールプール・ふわふわ遊具・ごっこ遊びコーナーが充実。,0歳～小学生,https://www.purehearts.co.jp/,,,,,"雨の日OK,完全屋内,0-3歳OK","ボールプール,ごっこ遊び,ふわふわ遊具",市川の本格屋内遊び場,"動く,見る",×
967,神奈川県,屋内遊び場,ファンタジーキッズリゾート港北店,横浜市港北区,屋内,◎,有料,大人1100円,子供1100円,総面積約1500坪の広い屋内遊園地。大人も遊べるスライダー・ふわふわ遊具・ARボルダリングが充実。,0歳～小学生,https://fantasyresort.jp/,,,,,"雨の日OK,完全屋内","大型スライダー,ふわふわ遊具,ARボルダリング",1500坪の大型屋内遊園地,"動く",×
968,神奈川県,屋内遊び場,ファンタジーキッズリゾート湘南辻堂店,藤沢市辻堂,屋内,◎,有料,大人1100円,子供1100円,湘南エリアの大型屋内遊園地。ふわふわ遊具・ARボルダリング・トランポリンが揃う。,0歳～小学生,https://fantasyresort.jp/,,,,,"雨の日OK,完全屋内","ふわふわ遊具,ARボルダリング,トランポリン",湘南エリア最大級屋内遊園地,"動く",×
